sample,WBC1,WBC2,WBC3,WBC4,WBC5,WBC6,RBC1,RBC2,RBC3,RBC4,RBC5,RBC6,Platelets1,Platelets2,Platelets3,Platelets4,Platelets5,Platelets6
hsa-miR-607,0.00,0.00,0.00,0.00,0.00,0.00,7.65,7.81,7.97,7.27,7.80,9.13,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-886-3p,0.00,0.00,0.00,0.00,0.00,0.00,10.20,11.43,11.57,10.18,11.62,10.73,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-891a,0.00,0.00,0.00,0.00,0.00,0.00,10.02,10.57,10.65,10.16,11.73,11.32,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-891b,0.00,0.00,0.00,0.00,0.00,0.00,6.27,8.84,8.41,7.24,8.34,8.69,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-92b*,0.00,0.00,0.00,0.00,0.00,0.00,8.93,10.44,10.30,10.62,10.59,10.38,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miRPlus-D1046,0.00,0.00,0.00,0.00,0.00,0.00,6.60,8.99,6.74,7.94,7.80,8.12,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-101*,5.47,9.73,8.81,6.66,9.32,8.29,10.35,14.37,13.61,11.68,14.29,14.09,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-1201,9.16,9.40,8.01,11.17,9.02,8.63,5.84,9.22,8.60,8.51,8.23,6.46,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-138,5.84,6.05,6.60,7.38,5.50,6.41,5.60,8.44,9.15,8.12,8.69,8.70,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-146b-3p,8.03,8.31,9.73,7.55,8.27,8.10,7.91,8.14,7.43,7.87,8.58,7.90,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-192*,7.00,6.34,6.29,6.02,5.40,5.22,13.78,13.38,13.24,13.74,13.45,13.91,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-23a*,8.32,7.18,9.26,7.44,7.05,6.82,6.02,6.37,7.74,6.99,7.67,6.50,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-25*,6.32,6.96,6.27,7.05,7.48,6.35,10.95,12.61,11.96,11.48,12.67,12.54,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-362-3p,5.51,6.47,7.66,6.16,6.90,7.36,10.40,12.26,12.42,11.47,12.12,13.31,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-424*,5.30,7.76,7.10,5.55,7.66,7.46,9.92,12.07,12.31,10.97,11.97,12.01,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-96,5.33,9.32,9.04,7.76,8.74,7.53,13.91,17.96,16.51,15.34,17.60,17.04,0.00,0.00,0.00,0.00,0.00,0.00
hsa-let-7f-1*,9.02,9.72,9.57,9.97,9.28,9.30,10.23,11.74,10.83,11.36,12.20,12.06,6.88,7.67,7.14,8.54,6.83,7.85
hsa-miR-1296,5.15,6.22,5.68,6.27,5.79,6.01,7.37,7.95,8.24,8.46,8.42,8.95,5.72,5.46,5.21,6.63,5.13,6.67
hsa-miR-153,5.68,7.97,8.98,7.53,7.95,8.42,8.47,11.51,11.25,9.89,11.00,12.00,6.35,6.96,6.19,7.40,6.63,6.05
hsa-miR-19b-1*,7.58,8.75,8.82,8.63,8.38,8.86,13.36,13.72,13.41,13.57,13.68,13.92,6.19,5.95,5.16,6.24,6.49,6.84
hsa-miR-26b*,10.48,10.77,10.47,10.89,10.30,10.24,13.04,12.84,12.65,13.15,12.94,13.39,7.31,7.00,6.75,8.77,6.95,7.66
hsa-miR-301b,7.45,8.34,7.40,7.48,8.46,7.05,12.14,13.58,13.30,13.48,13.05,13.73,8.31,8.29,6.64,9.10,6.46,8.27
hsa-miR-30d*,7.56,7.85,8.57,7.41,7.36,8.06,9.79,10.53,10.37,10.16,10.48,10.94,6.63,5.90,6.00,8.35,6.80,6.63
hsa-miR-340*,9.80,8.64,9.06,8.21,8.44,8.65,13.94,13.89,13.97,14.54,13.98,14.14,7.58,8.84,7.41,10.66,7.21,7.29
hsa-miR-7-1*,10.66,10.34,10.81,11.00,10.52,10.43,14.29,14.09,14.08,14.71,14.09,14.91,5.97,6.89,6.73,9.40,6.25,7.40
hsa-miR-769-5p,9.71,10.34,10.57,10.27,10.14,10.13,9.68,11.66,11.64,10.69,11.38,11.35,7.25,8.04,7.23,7.88,6.88,7.55
hsa-miR-98,6.76,9.29,9.07,7.58,9.01,7.94,13.35,16.17,15.05,14.52,16.18,15.85,5.19,6.98,5.29,6.89,5.58,5.64
